Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Region_Asia,Region_Central America and Caribbean,Region_European Union,Region_Middle East,Region_North America,Region_Oceania,Region_Rest of Europe,Region_South America
2012,91.0,147.8,320.8515,0.0,42,64,22.9,47,42,1.1388283833246218,5.805134968916488,2.6188546222977394,6.8,6.7,2.1,0,1,0,0,0,0,0,0,0,0
2006,85.9,138.3,297.8265,3.48,83,64,22.7,74,71,17.814273179612197,6.333279628139691,0.8671004876833833,8.9,8.8,2.3,0,1,0,0,0,0,0,0,0,0
2015,54.6,65.8,251.749,0.32,84,82,24.0,84,84,1.2460767305873808,7.8838232148921525,0.6471032420585385,5.6,5.4,4.1,0,1,0,0,0,0,0,0,0,0
2005,8.6,10.5,221.1375,9.92,99,99,25.9,99,99,1.161834242728283,9.26188863385676,1.1755733298042381,2.5,2.5,12.1,1,0,0,0,1,0,0,0,0,0
2010,76.7,130.3,285.833,0.6,72,64,22.6,77,73,1.6820276496988864,6.597145701886651,2.775708849576025,8.8,8.5,2.0,0,1,0,0,0,0,0,0,0,0
2000,138.1,224.9,531.3245,3.75,71,60,22.0,46,44,4.903748928326623,6.0014148779611505,1.7191887763932197,1.3,1.4,2.3,0,1,0,0,0,0,0,0,0,0
2004,13.1,15.2,84.8885,1.87,75,24,26.7,74,75,1.030454533953517,8.8065738205036,1.7173950539391927,4.7,4.6,7.5,0,1,0,0,0,1,0,0,0,0
2000,29.9,36.7,112.89,3.01,60,89,22.4,86,85,1.1051709180756477,7.693937325509272,7.141759637629093,5.9,5.1,6.5,0,1,1,0,0,0,0,0,0,0
2014,2.6,3.3,123.2,17.29,93,93,26.3,93,93,1.0832870676749586,9.74671677658618,0.8372475245337022,1.9,1.9,12.6,1,0,0,0,1,0,0,0,0,0
2005,78.1,127.5,386.9125,4.9,79,64,23.6,79,80,15.799842948260395,7.105786129481271,2.930126516455997,6.9,7.0,5.1,0,1,0,0,0,0,0,0,0,0
2006,28.2,34.2,168.835,0.17,98,64,28.3,98,98,1.1388283833246218,7.99699040583765,4.355040769588895,3.2,3.1,5.8,0,1,0,0,0,0,0,0,0,0
2011,20.6,24.4,225.0725,6.65,99,98,25.6,99,99,1.0202013400267558,8.015987811027237,1.3270750014599193,2.2,2.3,9.8,0,1,1,0,0,0,0,0,0,0
2003,4.9,6.1,72.394,2.58,98,97,26.4,93,93,1.0832870676749586,10.215081445034222,2.0399207835175526,1.1,1.1,12.2,1,0,0,0,0,1,0,0,0,0
2013,8.3,9.7,107.92,6.42,94,92,27.0,94,94,1.2969300866657718,9.627009150591672,1.4793292270870801,1.5,1.4,8.5,0,1,0,0,0,0,0,0,0,1
2000,68.8,95.0,253.0155,0.07,14,95,22.3,74,74,1.0202013400267558,7.776954403322442,2.9128939952449864,14.1,14.1,1.2,0,1,0,0,0,1,0,0,0,0
2006,74.8,159.3,278.9915,0.1,72,64,21.3,52,51,1.2460767305873808,6.042632833682381,2.717340248009303,11.6,11.5,1.3,0,1,0,0,0,0,0,0,0,0
2008,56.5,94.5,454.9405,1.9,91,64,22.4,92,91,142.5937958969891,5.796057750765372,2.689886230474539,7.0,6.9,3.9,0,1,0,0,0,0,0,0,0,0
2013,5.1,6.0,167.92,10.43,94,92,26.5,94,94,1.2969300866657718,9.456966047437597,1.1019400787607843,2.2,2.2,12.7,1,0,0,0,1,0,0,0,0,0
2013,2.3,2.8,66.6085,11.25,94,86,26.2,99,99,1.1051709180756477,11.564948493037381,0.43178241642553783,0.9,0.9,11.8,1,0,0,0,1,0,0,0,0,0
2000,78.9,129.7,449.9005,5.96,92,64,22.1,64,79,83.93141691026881,6.343880434126331,3.5409593240373143,8.3,8.3,4.2,0,1,0,0,0,0,0,0,0,0
2015,28.6,36.3,351.3925,7.2,75,59,27.2,85,75,1002.2472422902518,8.74209519574531,4.03229183781909,4.4,5.3,10.1,0,1,0,0,0,0,0,0,0,0
2003,54.3,72.3,159.3365,0.003,75,63,20.4,90,87,1.010050167084168,6.5638555265321274,4.911109574710704,2.3,2.9,4.4,0,1,1,0,0,0,0,0,0,0
2011,83.0,133.1,372.383,4.99,46,64,23.0,48,48,2.0750806076741224,7.80994708647679,5.09870721961654,11.0,1.9,5.5,0,1,0,0,0,0,0,0,0,0
2006,120.9,188.9,459.6215,3.68,75,60,22.4,65,64,3.896193301795215,6.1675164908883415,1.9213246735826988,9.1,9.1,2.8,0,1,0,0,0,0,0,0,0,0
2011,2.5,3.1,81.406,10.61,88,96,26.2,96,96,1.0202013400267558,9.940205135471292,1.1151415906193203,1.6,1.6,12.2,1,0,0,0,1,0,0,0,0,0
2007,12.6,14.7,99.216,0.092,96,98,27.9,96,96,1.1388283833246218,9.82536383575455,3.264995760481754,7.2,7.3,8.1,0,1,0,0,0,1,0,0,0,0
2004,2.8,3.9,68.9285,7.69,83,87,22.6,97,99,1.1853048513203654,10.389487554866463,4.8579502064306075,1.7,1.4,11.1,1,0,1,0,0,0,0,0,0,0
2002,6.6,7.7,120.782,13.88,96,98,25.8,95,95,1.0202013400267558,9.206633510044856,1.667706820558076,2.0,2.0,9.8,1,0,0,0,1,0,0,0,0,0
2012,9.0,10.1,101.497,3.54,98,97,26.4,97,95,1.0832870676749586,8.391403185357937,1.1184149159642893,2.2,2.2,9.3,0,1,0,0,0,0,0,0,1,0
2005,16.5,19.3,152.911,3.63,41,26,31.0,66,49,1.1853048513203654,8.268218880067506,0.16551443847757333,0.2,0.2,9.4,0,1,0,0,0,0,0,1,0,0
2001,11.8,13.7,178.6415,6.84,96,98,25.5,96,96,33.11545195869231,9.29798488182823,0.0769610411361284,6.2,6.6,7.5,0,1,0,0,0,0,0,0,0,0
2015,46.9,67.7,302.822,3.5,90,47,22.5,90,90,88.23467267565151,7.199678345691172,2.826129489167811,6.3,6.1,6.9,0,1,0,0,0,0,0,0,0,0
2014,17.8,19.9,169.9695,5.9,92,93,27.4,94,92,1.4918246976412703,9.807417083785394,0.8586616190375188,5.8,6.0,10.8,0,1,0,1,0,0,0,0,0,0
2007,15.3,17.1,82.6975,5.46,98,95,25.8,99,98,1.030454533953517,8.021584533455107,1.3787660946990992,1.6,1.7,9.2,0,1,0,0,0,0,0,0,1,0
2014,2.1,2.6,72.193,8.76,88,92,25.9,98,98,1.0832870676749586,10.662235190180022,1.8656293177945105,0.9,0.8,12.4,1,0,0,0,1,0,0,0,0,0
2005,16.8,19.7,116.383,0.79,83,81,27.3,83,80,1.1388283833246218,7.334981878871814,2.963209081848431,6.5,6.3,5.8,0,1,0,0,0,1,0,0,0,0
2014,3.1,4.1,74.8905,12.07,83,77,25.0,98,98,1.1051709180756477,10.501774452072114,4.209308814022622,0.6,0.6,11.4,1,0,0,0,1,0,0,0,0,0
2004,20.4,25.6,136.4285,1.13,94,65,20.3,96,96,1.2840254166877414,7.288244401020124,4.431530829576971,15.4,16.1,6.2,0,1,1,0,0,0,0,0,0,0
2001,13.3,15.4,126.257,0.54,99,99,25.5,99,99,1.0512710963760241,9.966321496707495,1.1908875647772805,7.1,6.9,5.6,0,1,0,0,0,1,0,0,0,0
2013,16.2,18.9,117.105,1.84,60,74,31.8,81,67,1.1853048513203654,8.284504227258497,0.17395330712343798,0.2,0.1,10.3,0,1,0,0,0,0,0,1,0,0
2014,43.8,56.3,199.529,6.74,88,65,22.7,88,88,1.1735108709918103,7.613818684808629,2.033397603178429,8.9,9.0,5.0,0,1,1,0,0,0,0,0,0,0
2008,17.0,19.9,181.698,6.95,94,90,28.2,94,94,1.6989323086185506,8.483843211734683,0.2700271372130602,3.5,3.4,10.4,0,1,0,1,0,0,0,0,0,0
2007,16.4,18.8,150.5345,12.59,99,83,28.2,99,99,1.4918246976412703,9.227689010310796,0.1570037488096647,4.3,4.4,7.7,0,1,0,1,0,0,0,0,0,0
2002,37.8,47.6,192.0885,0.054,63,24,21.8,80,70,1.1853048513203654,7.585281078639126,5.386145076913557,11.0,11.1,7.0,0,1,1,0,0,0,0,0,0,0
2001,19.1,22.0,182.7705,5.07,99,83,25.6,99,99,1.4918246976412703,8.59932602095476,0.10436001532424286,3.9,3.9,7.6,0,1,0,1,0,0,0,0,0,0
2001,68.9,112.1,228.7,0.012,61,64,23.8,75,75,1.5999941932173602,7.133295954896068,1.308332819650179,1.7,1.5,3.0,0,1,0,0,0,0,0,0,0,0
2003,14.1,16.4,88.761,1.96,74,14,26.6,74,74,1.0202013400267558,8.782322859397507,1.6845453849209058,4.8,4.7,7.5,0,1,0,0,0,1,0,0,0,0
2002,7.3,9.3,211.7,12.16,93,94,25.6,94,94,1.0832870676749586,9.342946336524205,0.8671004876833833,2.3,2.4,11.9,1,0,0,0,1,0,0,0,0,0
2015,2.0,2.7,53.586,8.55,83,93,22.7,99,96,1.1853048513203654,10.46201703637113,4.853123416210876,2.1,1.8,12.5,1,0,1,0,0,0,0,0,0,0
2001,27.4,33.1,167.8405,5.49,89,55,25.0,90,89,1.1972173631218102,8.242229891372231,1.860974538249528,2.5,2.4,6.2,0,1,0,0,0,0,0,0,0,1
2010,16.2,18.9,181.584,6.47,96,91,28.4,96,96,1.4477346146633245,8.469891918298224,0.27763173659827955,3.5,3.4,10.5,0,1,0,1,0,0,0,0,0,0
2001,63.8,87.1,237.811,0.12,74,63,21.4,77,73,1.7160068621848585,5.846438775057725,3.8759812340808804,13.3,13.7,3.2,0,1,1,0,0,0,0,0,0,0
2015,53.2,70.4,227.735,0.0,65,42,23.3,67,65,1.030454533953517,6.322565239927284,3.566994266123812,17.2,17.3,3.6,0,1,1,0,0,0,0,0,0,0
2001,89.3,174.9,325.735,5.53,86,31,21.0,62,62,2.2933187402641826,6.124683390894205,2.5603232890727545,11.2,1.8,1.3,0,1,0,0,0,0,0,0,0,0
2001,14.0,15.3,125.1375,7.42,83,70,26.6,93,84,1.8404313987816374,9.66997795897274,0.23901690047049992,4.2,4.2,9.0,0,1,0,1,0,0,0,0,0,0
2001,52.3,81.4,321.9725,9.27,70,64,23.8,44,45,36.59823444367799,8.97055917950895,0.8153648132841944,7.8,7.7,6.3,0,1,0,0,0,0,0,0,0,0
2009,15.8,18.5,142.157,3.24,90,78,26.8,90,90,1.858928041846342,8.514790306799927,1.33500106673234,1.9,1.7,8.8,0,1,0,1,0,0,0,0,0,0
2006,51.5,87.6,285.0805,3.25,95,64,22.9,94,95,4.014850052994201,6.532334292222349,0.9516578757114463,9.0,8.9,2.5,0,1,0,0,0,0,0,0,0,0
2001,29.9,36.5,193.7615,3.48,87,83,25.9,89,87,1.1502737988572274,7.2909747781429814,1.8164520818184267,2.2,2.1,5.2,0,1,0,1,0,0,0,0,0,0
2009,28.4,33.0,87.1205,0.53,98,72,25.3,99,99,1.0512710963760241,7.813591552952433,3.494384096388273,6.4,6.2,4.2,0,1,0,0,0,0,0,0,0,0
